Name	ID	Wowhead Classic	Booty Bay Gazette
Flask of Distilled Wisdom	13511	https://de.classic.wowhead.com/item=13511	https://www.bootybaygazette.com/#eu/lucifron-h/item/13511
Greater Frost Protection Potion	13456	https://de.classic.wowhead.com/item=13456	https://www.bootybaygazette.com/#eu/lucifron-h/item/13456
Greater Fire Protection Potion	13457	https://de.classic.wowhead.com/item=13457	https://www.bootybaygazette.com/#eu/lucifron-h/item/13457
Greater Arcane Elixir	13454	https://de.classic.wowhead.com/item=13454	https://www.bootybaygazette.com/#eu/lucifron-h/item/13454
Elixir of the Mongoose	13452	https://de.classic.wowhead.com/item=13452	https://www.bootybaygazette.com/#eu/lucifron-h/item/13452
Greater Stoneshield Potion	13455	https://de.classic.wowhead.com/item=13455	https://www.bootybaygazette.com/#eu/lucifron-h/item/13455
Elixir of Shadow Power	9264	https://de.classic.wowhead.com/item=9264	https://www.bootybaygazette.com/#eu/lucifron-h/item/9264
Limited Invulnerability Potion	3387	https://de.classic.wowhead.com/item=3387	https://www.bootybaygazette.com/#eu/lucifron-h/item/3387
Elixir of Greater Intellect	9179	https://de.classic.wowhead.com/item=9179	https://www.bootybaygazette.com/#eu/lucifron-h/item/9179
Restorative Potion	9030	https://de.classic.wowhead.com/item=9030	https://www.bootybaygazette.com/#eu/lucifron-h/item/9030
Frost Oil	3829	https://de.classic.wowhead.com/item=3829	https://www.bootybaygazette.com/#eu/lucifron-h/item/3829
