Name	ID	Wowhead Classic	Booty Bay Gazette
Gnomish Mind Control Cap	10726	https://de.classic.wowhead.com/item=10726	https://www.bootybaygazette.com/#eu/lucifron-h/item/10726
Gnomish Rocket Boots	10724	https://de.classic.wowhead.com/item=10724	https://www.bootybaygazette.com/#eu/lucifron-h/item/10724
Parachute Cloak	10518	https://de.classic.wowhead.com/item=10518	https://www.bootybaygazette.com/#eu/lucifron-h/item/10518
Thorium Shells	15997	https://de.classic.wowhead.com/item=15997	https://www.bootybaygazette.com/#eu/lucifron-h/item/15997
Salt Shaker	15846	https://de.classic.wowhead.com/item=15846	https://www.bootybaygazette.com/#eu/lucifron-h/item/15846
Sniper Scope	10548	https://de.classic.wowhead.com/item=10548	https://www.bootybaygazette.com/#eu/lucifron-h/item/10548
Accurate Scope	4407	https://de.classic.wowhead.com/item=4407	https://www.bootybaygazette.com/#eu/lucifron-h/item/4407
Gnomish Net-o-Matic Projector	10720	https://de.classic.wowhead.com/item=10720	https://www.bootybaygazette.com/#eu/lucifron-h/item/10720
Gnomish Cloaking Device	4397	https://de.classic.wowhead.com/item=4397	https://www.bootybaygazette.com/#eu/lucifron-h/item/4397
Goblin Jumper Cables	7148	https://de.classic.wowhead.com/item=7148	https://www.bootybaygazette.com/#eu/lucifron-h/item/7148
Powerful Seaforium Charge	18594	https://de.classic.wowhead.com/item=18594	https://www.bootybaygazette.com/#eu/lucifron-h/item/18594
Hi-Explosive Bomb	10562	https://de.classic.wowhead.com/item=10562	https://www.bootybaygazette.com/#eu/lucifron-h/item/10562
Large Seaforium Charge	4398	https://de.classic.wowhead.com/item=4398	https://www.bootybaygazette.com/#eu/lucifron-h/item/4398
Unstable Trigger	10560	https://de.classic.wowhead.com/item=10560	https://www.bootybaygazette.com/#eu/lucifron-h/item/10560
Gyrochronatom	4389	https://de.classic.wowhead.com/item=4389	https://www.bootybaygazette.com/#eu/lucifron-h/item/4389
