Name	ID	Wowhead Classic	Booty Bay Gazette
Felcloth	14256	https://de.classic.wowhead.com/item=14256	https://www.bootybaygazette.com/#eu/lucifron-h/item/14256
Runecloth	14047	https://de.classic.wowhead.com/item=14047	https://www.bootybaygazette.com/#eu/lucifron-h/item/14047
Bolt of Runecloth	14048	https://de.classic.wowhead.com/item=14048	https://www.bootybaygazette.com/#eu/lucifron-h/item/14048
Living Essence	12803	https://de.classic.wowhead.com/item=12803	https://www.bootybaygazette.com/#eu/lucifron-h/item/12803
Essence of Earth	7076	https://de.classic.wowhead.com/item=7076	https://www.bootybaygazette.com/#eu/lucifron-h/item/7076
Essence of Air	7082	https://de.classic.wowhead.com/item=7082	https://www.bootybaygazette.com/#eu/lucifron-h/item/7082
Essence of Fire	7078	https://de.classic.wowhead.com/item=7078	https://www.bootybaygazette.com/#eu/lucifron-h/item/7078
Essence of Water	7080	https://de.classic.wowhead.com/item=7080	https://www.bootybaygazette.com/#eu/lucifron-h/item/7080
Arcane Crystal	12363	https://de.classic.wowhead.com/item=12363	https://www.bootybaygazette.com/#eu/lucifron-h/item/12363
Greater Nether Essence	11175	https://de.classic.wowhead.com/item=11175	https://www.bootybaygazette.com/#eu/lucifron-h/item/11175
Elemental Fire	7068	https://de.classic.wowhead.com/item=7068	https://www.bootybaygazette.com/#eu/lucifron-h/item/7068
Wildvine	8153	https://de.classic.wowhead.com/item=8153	https://www.bootybaygazette.com/#eu/lucifron-h/item/8153
Fused Wiring	7191	https://de.classic.wowhead.com/item=7191	https://www.bootybaygazette.com/#eu/lucifron-h/item/7191
Pristine Black Diamond	18335	https://de.classic.wowhead.com/item=18335	https://www.bootybaygazette.com/#eu/lucifron-h/item/18335
Journeyman's Backpack	3914	https://de.classic.wowhead.com/item=3914	https://www.bootybaygazette.com/#eu/lucifron-h/item/3914
Golden Pearl	13926	https://de.classic.wowhead.com/item=13926	https://www.bootybaygazette.com/#eu/lucifron-h/item/13926
Small Flame Sac	4402	https://de.classic.wowhead.com/item=4402	https://www.bootybaygazette.com/#eu/lucifron-h/item/4402
Cured Rugged Hide	15407	https://de.classic.wowhead.com/item=15407	https://www.bootybaygazette.com/#eu/lucifron-h/item/15407
Mithril Shield Spike	7967	https://de.classic.wowhead.com/item=7967	https://www.bootybaygazette.com/#eu/lucifron-h/item/7967
Star Ruby	7910	https://de.classic.wowhead.com/item=7910	https://www.bootybaygazette.com/#eu/lucifron-h/item/7910
Blood of the Mountain	11382	https://de.classic.wowhead.com/item=11382	https://www.bootybaygazette.com/#eu/lucifron-h/item/11382
Coarse Grinding Stone	3478	https://de.classic.wowhead.com/item=3478	https://www.bootybaygazette.com/#eu/lucifron-h/item/3478
Major Mana Potion	13444	https://de.classic.wowhead.com/item=13444	https://www.bootybaygazette.com/#eu/lucifron-h/item/13444
Major Healing Potion	13446	https://de.classic.wowhead.com/item=13446	https://www.bootybaygazette.com/#eu/lucifron-h/item/13446
Dreamfoil	13463	https://de.classic.wowhead.com/item=13463	https://www.bootybaygazette.com/#eu/lucifron-h/item/13463
Plaguebloom	13466	https://de.classic.wowhead.com/item=13466	https://www.bootybaygazette.com/#eu/lucifron-h/item/13466
Ghost Mushroom	8845	https://de.classic.wowhead.com/item=8845	https://www.bootybaygazette.com/#eu/lucifron-h/item/8845
Icecap	13467	https://de.classic.wowhead.com/item=13467	https://www.bootybaygazette.com/#eu/lucifron-h/item/13467
Swiftthistle	2452	https://de.classic.wowhead.com/item=2452	https://www.bootybaygazette.com/#eu/lucifron-h/item/2452
Gromsblood	8846	https://de.classic.wowhead.com/item=8846	https://www.bootybaygazette.com/#eu/lucifron-h/item/8846
Wintersbite	3819	https://de.classic.wowhead.com/item=3819	https://www.bootybaygazette.com/#eu/lucifron-h/item/3819
